word, knownCount, unknownCount, seenCount, totalCount, timeBetweenClicks 
sanitary,9,0,0,9,0.152
glow,8,0,0,8,0.166
funk,7,0,0,7,422.953
jaw,10,0,0,10,0.168
achievable,11,0,0,11,0.153
successive,12,0,0,12,0.241
optimistic,1,1,0,2,0.447
forthcoming,0,1,0,1,First Click
folly,1,2,0,3,0.713
decade,2,2,0,4,0.503
odd,3,2,0,5,0.217
pebble,4,2,0,6,0.175
guerrilla,5,2,0,7,0.153
colleague,6,2,0,8,0.16
unrest,6,3,0,9,0.424
confront,6,4,0,10,0.161
stopwatch,7,4,0,11,0.398
generosity,8,4,0,12,0.161
obedient,9,4,0,13,0.129
serial,10,4,0,14,0.143
embassy,10,5,0,15,0.535
microorganism,2,0,0,2,0.144
feat,1,0,0,1,First Click
outdo,3,0,0,3,0.152
woodcarving,3,1,0,4,0.415
invoke,3,2,0,5,0.154
lengthen,4,2,0,6,0.44
eloquence,5,2,0,7,0.158
pH,6,2,0,8,0.161
caravan,6,3,0,9,0.479
