WORD,WORDDEF
abase,"cause to feel shame, hurt the pride of"
abash,"cause to be embarrassed, cause to feel self-conscious"
abate,become less in amount or intensity
abbreviate,shorten
abdicate,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abduct,take away to an undisclosed location against their will and usually in order to extract a ransom
aberrant,one whose behavior departs substantially from the norm of a group
aberration,a disorder in one's mental state
abet,"assist or encourage, usually in some wrongdoing"
abettor,one who helps or encourages or incites another
abeyance,temporary cessation or suspension
abhor,find repugnant
abject,showing humiliation or submissiveness
abjure,"formally reject or disavow a formerly held belief, usually under pressure"
ablation,the erosive process that reduces the size of glaciers
ablution,the ritual washing of a priest's hands or of sacred vessels
abnegate,"deny oneself (something), restrain, especially from indulging in some pleasure"
abnegation,renunciation of your own interests in favor of the interests of others
abnormal,departing from the normal in e.g. intelligence and development
abolish,do away with
abolition,the act of abolishing a system or practice or institution (especially abolishing slavery)
abominable,exceptionally bad or displeasing
abominate,find repugnant
abomination,hate coupled with disgust
aboriginal,of or pertaining to members of the indigenous people of Australia
aborigine,an indigenous person who was born in a particular place
abortive,failing to accomplish an intended result
abound,"be abundant or plentiful, exist in large quantities"
abrade,rub hard or scrub
abrasive,causing abrasion
abridge,"lessen, diminish, or curtail"
abrogate,revoke formally
abrupt,extremely steep
abruptly,quickly and without warning
abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue
abscission,the act of cutting something off
abscond,"run away, usually includes taking something or somebody along"
absentee,one that is absent or not in residence
absolute,expressing finality with no implication of possible change
absolve,let off the hook
absorbed,retained without reflection
absorption,the mental state of being preoccupied by something
abstain,choose not to consume
abstemious,sparing in consumption of especially food and drink
abstinence,the trait of abstaining (especially from alcohol)
abstinent,a person who refrains from drinking intoxicating beverages
abstract,a concept or idea not associated with any specific instance
abstruse,"difficult to penetrate, incomprehensible to one of ordinary understanding or knowledge"
abusive,expressing offensive reproach
abut,lie adjacent to another or share a boundary
abysmal,"resembling an abyss in depth, so deep as to be unmeasurable"
abyss,"a bottomless gulf or pit, any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)"
accede,to agree or express agreement
accelerate,cause to move faster
accentuate,"to stress, single out as important"
acceptance,the state of being acceptable and accepted
access,"obtain or retrieve from a storage device, as of information on a computer"
accessible,"easy to get along with or talk to, friendly"
accessory,aiding and abetting in a crime
accidental,happening by chance or unexpectedly or unintentionally
acclaim,praise vociferously
acclimate,get used to a certain climate
acclivity,an upward slope or grade (as in a road)
accolade,a tangible symbol signifying approval or distinction
accommodate,provide with something desired or needed
accommodations,Plural form of accommodation
accompany,go or travel along with
accomplice,a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accomplished,settled securely and unconditionally
accord,a written agreement between two states or sovereigns
accost,approach with an offer of sexual favors
account,a short account of the news
accouterments,"Dress, trappings, equipment, specifically, the devices and equipments worn by soldiers."
accoutre,provide with military equipment
accredit,provide or send (envoys or embassadors) with official credentials
accretion,something contributing to growth or increase
accrue,come into the possession of
acculturation,all the knowledge and values shared by a society
accumulate,get or gather together
accuracy,(mathematics) the number of significant figures given in a number
accurate,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth , strictly correct"
accuse,"bring an accusation against, level a charge against"
acephalous,lacking a head or a clearly defined head
acerbic,sour or bitter in taste
acerbity,a rough and bitter manner
acetic,relating to or containing acetic acid
acidulous,being sour to the taste
acknowledge,"express recognition of the presence or existence of, or acquaintance with"
acme,the highest point (of something)
acoustics,the study of the physical properties of sound
acquaintance,a person with whom you are acquainted
acquiesce,to agree or express agreement
acquiescence,acceptance without protest
acquiescent,willing to carry out the orders or wishes of another without protest
acquisitive,eager to acquire and possess things especially material possessions or ideas
acquit,pronounce not guilty of criminal charges
acquittal,a judgment of not guilty
acrid,strong and sharp
acrimonious,marked by strong resentment or cynicism
acrimony,a rough and bitter manner
acronym,a word formed from the initial letters of the several words in the name
actuarial,of or relating to the work of an actuary
actuate,put in motion or move to act
acuity,a quick and penetrating intelligence
acumen,shrewdness shown by keen insight
acute,extremely sharp or intense
ad-lib,with little or no preparation or forethought
adage,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
adamant,"impervious to pleas, persuasion, requests, reason"
adapt,"make fit for, or change to suit a new purpose"
adaptation,(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)
addict,"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
addiction,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
addle,mix up or confuse
address,"greet, as with a prescribed form, title, or name"
adduce,advance evidence for
adept,having or showing knowledge and skill and aptitude
adequate,having the requisite qualities or resources to meet a task
adhere,follow through or carry out a plan without deviation
adherent,sticking fast
adipose,composed of animal fat
adjacent,"having a common boundary or edge, abutting, touching"
adjoin,lie adjacent to another or share a boundary
adjourn,break from a meeting or gathering
adjudicate,"bring to an end, settle conclusively"
adjunct,of or relating to a person who is subordinate to another
adjuration,a solemn and earnest appeal to someone to do something
adjure,ask for or request earnestly
adjust,place in a line or arrange so as to be parallel or straight
administration,the persons (or committees or departments etc.) who make up a body for the purpose of administering something
admonish,take to task
admonition,cautionary advice about something imminent (especially imminent danger or other unpleasantness)
adore,love intensely
adorn,be beautiful to look at
adrift,"floating freely, not anchored"
adroit,quick or skillful or adept in action or thought
adulate,flatter in an obsequious manner
adulation,"servile flattery, exaggerated and hypocritical praise"
adulterate,mixed with impurities
adulterated,mixed with impurities
adulteration,"being mixed with extraneous material, the product of adulterating"
adultery,extramarital sex that willfully and maliciously interferes with marriage relations
adumbrate,describe roughly or briefly or give the main points or summary of
adumbration,"the act of providing vague advance indications, representing beforehand"
advent,the season including the four Sundays preceding Christmas
adventitious,associated by chance and not an integral part
adventure,put at risk
adversary,someone who offers opposition
adverse,contrary to your interests or welfare
adversity,a state of misfortune or affliction
advert,make a more or less disguised reference to
advertent,giving attention
advocacy,"active support of an idea or cause etc., especially the act of pleading or arguing for something"
advocate,push for something
aegis,Protection:  a child whose welfare is now under the aegis of the courts.
aeon,the longest division of geological time
aerate,"impregnate, combine, or supply with oxygen"
aeronautics,the theory and practice of navigation through air or space
aesthetic,concerning or characterized by an appreciation of beauty or good taste
affable,diffusing warmth and friendliness
affectation,a deliberate pretense or exaggerated display
affected,being excited or provoked to the expression of an emotion
affectionate,having or displaying warmth or affection
afferent,"of nerves and nerve impulses, conveying sensory information from the sense organs to the CNS"
affidavit,"written declaration made under oath, a written statement sworn to be true before someone legally authorized to administer an oath"
affiliate,"a subordinate or subsidiary associate, a person who is affiliated with another or with an organization"
affiliation,the act of becoming formally connected or joined
affinity,a close connection marked by community of interests or similarity in nature or character
affirmation,(religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
affirmative,a reply of affirmation
afflatus,"a strong creative impulse, divine inspiration"
affliction,a cause of great suffering and distress
affluence,abundant wealth
affluent,"an affluent person, a person who is financially well off"
afford,be able to spare or give up
affray,a noisy fight
affront,a deliberately offensive act or something producing the effect of deliberate disrespect
afire,lighted up by or as by fire or flame
afloat,aimlessly drifting
aftermath,the consequences of an event (especially a catastrophic event)
agape,a religious meal shared as a sign of love and fellowship
agenda,a temporally organized plan for matters to be attended to
agglomerate,clustered together but not coherent
agglomeration,a jumbled collection or mass
agglutinate,string together (morphemes in an agglutinating language)
aggrandize,add details to
aggrandizement,the act of increasing the wealth or prestige or power or scope of something
aggravate,make worse
aggregate,amount in the aggregate to
aggregation,the act of gathering something together
aggressive,having or showing determination and energetic pursuit of your ends
aggrieve,cause to feel sorrow
aggrieved,Feeling distress or affliction.
aghast,"struck with fear, dread, or consternation"
agile,mentally quick
agility,the gracefulness of a person or animal that is quick and nimble
agitate,change the arrangement or position of
agitation,disturbance usually in protest
aglow,softly bright or radiant
agnostic,uncertain of all claims to knowledge
agrarian,relating to rural matters
agronomist,an expert in soil management and field-crop production
ailment,"an often persistent bodily disorder or disease, a cause for complaining"
ajar,slightly open
akin,similar in quality or character
alacrity,liveliness and eagerness
albeit,"Even though, although, notwithstanding:  clear albeit cold weather."
albino,"a person with congenital albinism: white hair and milky skin, eyes are usually pink"
alchemy,a pseudoscientific forerunner of chemistry in medieval times
alcove,a small recess opening off a larger room
alert,engaged in or accustomed to close observation
alias,as known or named at another time or place
alienate,transfer property or ownership
alight,"to come to rest, settle"
alignment,the act of adjusting or aligning the parts of a device in relation to each other
alike,having the same or similar characteristics
alimentary,of or providing nourishment
alimony,court-ordered support paid by one spouse to another after they are separated
alive,capable of erupting
allay,lessen the intensity of or calm
allege,report or maintain
allegiance,the act of binding yourself (intellectually or emotionally) to a course of action
allegory,"an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances, an extended metaphor"
alleviate,"provide physical relief, as from pain"
alliance,the act of forming an alliance or confederation
alliteration,use of the same consonant at the beginning of each stressed syllable in a line of verse
allocate,distribute according to a plan or set apart for a special purpose
allot,"administer or bestow, as in small portions"
allowance,an amount allowed or granted (as during a given period)
alloy,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
allude,make a more or less disguised reference to
allure,dispose or incline or entice to
alluring,highly attractive and able to arouse hope or desire
allusion,passing reference or indirect mention
alluvial,of or relating to alluvium
ally,"become an ally or associate, as by a treaty or marriage"
aloft,in the higher atmosphere above the earth
aloof,in an aloof manner
altercation,noisy quarrel
altruism,the quality of unselfish concern for the welfare of others
altruistic,showing unselfish concern for the welfare of others
amalgamate,joined together into a whole
amass,collect or gather
amateur,an athlete who does not play for pay
amateurish,lacking professional skill or expertise
amazon,"A tall, strong, athletic woman."
ambidextrous,equally skillful with each hand
ambience,a particular environment or surrounding influence
ambient,completely enveloping
ambiguity,an expression whose meaning cannot be determined from its context
ambiguous,"open to two or more interpretations, or of uncertain nature or significance, or (often) intended to mislead"
ambit,an area in which something acts or operates or has power or control:
ambition,have as one's ambition
ambitious,requiring full use of your abilities or resources
ambivalence,mixed feelings or emotions
ambivalent,uncertain or unable to decide about what course to follow
ambivert,"A person who is neither clearly extroverted nor introverted, but has characteristics of each."
amble,a leisurely walk (usually in some public place)
ambrosia,any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma
ambulatory,relating to or adapted for walking
ameliorate,to make better
amenable,disposed or willing to comply
amend,to make better
amendment,the act of amending or correcting
amenities,things that make you comfortable and at ease
amenity,pleasantness resulting from agreeable conditions
amiable,diffusing warmth and friendliness
amicable,characterized by friendship and good will
amid,"Surrounded by, in the middle of."
amiss,not functioning properly
amity,a cordial disposition
amnesia,partial or total loss of memory
amnesty,a warrant granting release from punishment for an offense
amoral,"Not admitting of moral distinctions or judgments, neither moral nor immoral."
amorous,inclined toward or displaying love
amorphous,without real or apparent crystalline form
amortization,the reduction of the value of an asset by prorating its cost over a period of years
amortize,liquidate gradually
amphibian,a flat-bottomed motor vehicle that can travel on land or water
amphibious,operating or living on land and in water
amphibolous,"Having a grammatical structure that allows of two interpretations, equivocal."
amphitheater,"an oval large stadium with tiers of seats, an arena in which contests and spectacles are held"
amphora,"an ancient jar with two handles and a narrow neck, used to hold oil or wine"
amphoteric,having characteristics of both an acid and a base and capable of reacting as either
ample,fairly large
amplify,"increase in size, volume or significance"
amputate,remove surgically
amuck,frenzied as if possessed by a demon
amulet,a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
anabolism,"the synthesis in living organisms of more complex substances (e.g., living tissue) from simpler ones together with the storage of energy"
anachronism,an artifact that belongs to another time
anagram,a word or phrase spelled by rearranging the letters of another word or phrase
analeptic,stimulating the central nervous system
